Ссылка,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Cтрана-производитель
https://goldapple.ru/83730100002-contessa,Contessa ,30607,,"Contessa – портрет итальянской аристократки, жившей в 19 веке в маленьком тосканском городке, где узкие дорожки вели к холмам, покрытым оливковыми деревьями и виноградными лозами. Именно эти пейзажи и женственность их главной героини вдохновили парфюмеров Moresque на создание аромата Contessa. Пряная цветочная композиция раскрывается нотами розы, жасмина и иланг-иланга",,
https://goldapple.ru/19000234939-tobacco-vanilla,Tobacco Vanilla,1590,,"Моментальная и насыщенная ароматизация пространства. Парфюм для вашего интерьера и домашнего пространства подарит мгновенную и стойкую ароматизацию на 24 часа. Идеальный вариант для создания атмосферы и настроения по особому поводу. Подходит для использования на домашнем текстиле, шторах и мягких поверхностей мебели","Распылить на текстильные элементы мебели на расстоянии 15-30 см. Интерьерный парфюм предназначен для ароматизации пространства, поэтому вы также можете распылить его в воздух в комнате.",Россия
https://goldapple.ru/19000117829-aqua-minimes,Aqua Minimes,2892,4.5,"Парфюмерная композиция AQUA MINIMES раскрывает ослепительную свежесть аромата, витающего в тихом цитрусовом саду по утрам, когда еще не исчезла прохладная роса. 
<br/>Бодрящее древесно-цитрусовое звучание напоминает о первых лучах солнца, пробивающихся сквозь листья деревьев. Начало нового дня знаменуют яркий цитрон, литсея и мандарин. 
<br/>Элегантность им придают землистый оттенок ветивера и благородная древесная нота кедра. 
<br/>Насыщенный аромат, созданный на основе натуральных растительных эссенций, разработан в традициях французской высокой парфюмерии.",Только для наружного применения.,Франция
https://goldapple.ru/19000118780-silver-cedar,Silver Cedar,3031,,"Спрей для дома Durance мгновенно ароматизируют все комнаты в доме, чтобы создать индивидуальную атмосферу. Теплая атмосфера, где сладкий аромат корицы совершенствуется с сочными ароматами апельсиновых фруктов, чтобы осветить ваш дом для ваших близких.<br>
Острые ноты серебряного кедра отрезвляют, в то время как сандаловое дерево еще более усиливает наши чувства.",,Франция
https://goldapple.ru/19000222751-rose-oud,ROSE OUD,16912,5,"Богатая и насыщенная эссенция агарового дерева в коллекции OUD полностью посвящена традициям французской элегантности, увековеченной Патрисией де Николаи.<br><br>

Rose Oud — «французско-ориентальная» классика. Роскошная красная роза с пряными, фруктовыми акцентами перекликается с древесными и животными оттенками уда, создавая шипровый эффект. <br><br>

Благодаря этому сочетанию королева цветов выходит за пределы проторенного пути и обычного романтического имиджа.",Только для наружного применения.,Франция
https://goldapple.ru/7431800005-eros-pour-femme,Eros Pour Femme ,7091,4.9,"Туалетная вода Versace Eros Pour Femme – это новое измерение свежести, захватывающей и чувственной. В верхних нотах композиции - изысканные цитрусовые: сицилийский лимон и мандарин, и искрящиеся фруктовые ноты малины и белой смородины. Волнующие ноты лепестков фрезии и магнолии отсылают к женской природе аромата, а померанец и жасмин подчёркивают интенсивность и характер композиции. Смелый акцент белых пачули в сочетании с яркими древесными оттенками, мускусом и амброксаном придают аромату чувственность.",,Италия
https://goldapple.ru/19000201939-tobacco-amber,Tobacco & Amber,10762,,Восточная экзотика вдохновила бренд Cereria Molla на создание аромата «Амбра и табак». Звенящие цитрусовые ноты приглашают к знакомству с чувственным сердцем. Обволакивающие глубокие ноты амбры переплетены с благородством индийского терпкого табака в сердце парфюмерной композиции. Аккорды бархатистой лаванды в шлейфе лишь подчеркивают обвораживающие восточное звучание аромата.,"Предназначен для ароматизации воздуха в помещениях. Вскрыть флакон с ароматом, наполнить аромадиффузор, вставить палочки, рекомендованные производителем. Для оптимального распространения аромата регулярно переворачивать палочки. Для регулирования интенсивности аромата допускается уменьшать/увеличивать количество палочек.",Испания
https://goldapple.ru/19000152688-isla-paradis,ISLA PARADIS,900,4.2,"Аромат LE PARFUM FRANCAIS переносит на тропический пляж с теплым песком, шумом волн и согревающими лучами солнца. 
<br/>Ярко представить райский пейзаж помогают фруктовые ноты грейпфрута, сочного персика и кокоса. В сердце экзотической композиции – гардения, цветок апельсина и ландыш. <br/>Этот цветочный солнечный аромат – парфюмерное путешествие в беззаботное лето.",,Франция
https://goldapple.ru/19000174064-light-green-22-cm-5-mm,"light green 22 cm, 5 mm",1080,,"Фибровые палочки светло-зеленые толстые. Длина 22 см, диаметр 5 мм. <br>
Фиброволокно прекрасно впитывает и отдает аромат. Это синтетическое пористое вещество, ароматические эссенции впитывает равномерно и быстро. Аромат распространяется в пространстве пленяющим шлейфом. <br>
Палочки используются только с арома-композициями, диффузорами и другими ёмкостями для парфюмерных жидкостей. Ознакомьтесь со всей линейкой парфюма VENEW, кликнув по бренду. Ароматизатор для дома с палочками заиграет для вас новыми красками.","Избавьте палочки от упаковки, вставьте в диффузор или ёмкость с арома-композицией. Через несколько минут переверните палочки. Регулировать интенсивность отдачи аромата в воздух очень легко. Если нужно более нежное, невесомое звучание, часть палочек уберите. Чтобы сделать запах более насыщенным – добавьте больше. При смене жидкости в диффузоре обязательно ставьте новые палочки.",Россия
https://goldapple.ru/19000121298-diamond,Diamond ,11076,5,"В изысканный набор входят парфюмерная вода DIAMOND (100 мл), её миниатюра в тревел-формате (15 мл) и распылитель. <br>
Древние греки верили, что алмазы – это осколки звезд, упавшие с неба, в древней Индии алмазам приписывали способность защищать от зла, а римляне первыми начали использовать их как символ вечной любви. Композиция DIAMOND, названная в честь этих драгоценных камней, стала парфюмерным воплощением соблазна, ведь алмазы веками обольщали людей и продолжают очаровывать нас по сей день. <br>
Притягательная сила аромата SIGNATURE by Sillage d'Orient кроется в ярком сочетании чувственной ноты арабской амбры, таинственного ладана и благородного, ценного уда с его темным очарованием.",Распылять на кожу с расстояния 20-30 см.,Франция
https://goldapple.ru/19000011255-booster-eau-de-la-nuit,Booster Eau De La Nuit ,21868,,"Обольстительный аромат,  сотканный  из древесных,  амбровых и мускусных оттенков, загадочный  и  вызывающий зависимость.  Этот  аромат медленно раскрывается и долго держится на коже, вызывая  непрерывное  желание  вдыхать его все больше и больше. Он наполнит соблазнительной чувственностью любой аромат, с которым вы его смешаете.
<p>
Верхние ноты: бергамот.
Ноты сердца: древесные ноты, амбра.
Базовые ноты: розовый перец, мускус.",,Россия
https://goldapple.ru/26801300002-baccarat-rouge-540,BACCARAT ROUGE 540,30500,4.7,"Магический альянс Природы и Человека, который трансформирует сырьё в осязаемые элементы. Абсолютное единение человеческого мастерства, природного минерала и огня.  Таким образом родился аромат Baccarat Rouge 540,  лаконичный и в то же время графичный ольфактивный автограф.  Изысканная и яркая парфюмерная вода с цветочно-амбровыми и древесными оттенками.",,Франция
https://goldapple.ru/19000222738-bois-belize-intense,BOIS BÉLIZE INTENSE,5047,5,"Коллекция INTENSE — исключительные ароматы в «интенсивной» версии, изготовленные из лучшего и уникального сырья.<br>
Bois Bélize Intense — дымящийся чай, завернутый в ценные породы дерева. В старте бергамот и гваяковое дерево в сочетании с листьями мате образуют экзотическую ноту сладкой горечи. Нежная нота розы с кардамоном, гвоздикой и дубовым мхом придает композиции восхитительно пряный оттенок.",Только для наружного применения.,Франция
https://goldapple.ru/19000059309-private-collection-l-floral-chypre,Private Collection L Floral Chypre ,40590,,"Молодой, жаждущий знаний студент находит неисчерпаемый источник вдохновения в кипучей энергии таких городов, как Лондон и Эдинбург. Великолепие грандиозных архитектурных ансамблей покоряет его сердце и он представляет их как сокровища, призванные украсить и без того роскошные пейзажи природы. 
<b> 
Этот аромат вызывает воспоминания о волшебных и загадочных садах, которые являются воплощением души самой природы. Композиция гипнотизирует аккордом жасмина самбака и розы, горделиво красующихся на роскошной базе из пачули.",Нанести на пульсирующие точки,Великобритания
https://goldapple.ru/19000110361-burning-for-oud,BURNING FOR OUD,2106,4.2,"Страстная восточная композиция BURNING FOR OUD от L’ATELIER PARFUM раскрывает разные грани уда: древесную, кожаную и даже анималистическую. Аромат этого дерева, часто используемого для создания благовоний, кажется почти священным – он успокаивает, дарит вдохновение и пробуждает духовность. Яркость загадочной дымке уда придаёт розовый перец, подчеркивающий чувственную сторону композиции, а сочетание кедра, пряных нот и амбры смягчает базовые ноты ладана и благородного, выдержанного рома. Ключевые ноты: уд, амбра, розовый перец. Парфюмер - ALEXIS DADIER.",только для наружного применения.,Франция
https://goldapple.ru/19000234744-altai,Altai,2290,,"Насыщенный аромат с высокой концентрацией душистых веществ. Ярчайшие ноты сосны и древесной смолы быстро наполняют помещение ярчайшим ароматом коры дерева и хвои. Аккорд корицы добавляет шлейфу пряность, а мягкие нотки мяты и бергамота - свежесть и легкую прохладу. Вы точно влюбитесь в ALTAI, если мечтаете ощущать в помещении запах горящих в камине поленьев и хвойного леса. <br>ALTAI - идеальное решение для загородного дома и деревянных интерьеров, а также для просторной гостиной в темных тонах.","Наполните стеклянный флакон арома жидкостью из пластикового рефила наполовину. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.",Россия
https://goldapple.ru/26802000002-oud-silk-mood,Oud Silk Mood,29000,5,"Нежный аромат – воздушная невесомость загадочного уда, в котором слышится то ли шелест шёлка, то ли мягкое прикосновение розовых лепестков.",,Франция
https://goldapple.ru/19000019544-peach-passion-fruit-musk,"Peach, Passion fruit, Musk ",2200,4.8,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.<br>
Эрез Розен <br><br>

Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. <br><br>

Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
https://goldapple.ru/19000120656-isfarkand,Isfarkand ,11385,,"""Стильный, энергичный и чувственный"" - так Ormonde Jayne представляет аромат ""Isfarkand"". Мягкие ноты лайма, мандарина и масла бергамота под покровом розового перца, кедра, ветивера, ириса и мха.",Нанести на пульсирующие точки,Великобритания
https://goldapple.ru/80130600001-in-blue,In Blue,5898,5,"Туалетная вода Armand Basi  — освежающий и бодрящий аромат для истинных мужчин. Armand Basi начали букет из бергамота, грейпфрута и мандарина, дарящих Средиземноморскую свежесть, и подчеркнув всё аккордом тёплого кориандра. В самой сердцевине лежит комбинация благородных цветов лотоса и нероли, дополненных насыщенным перцем и ростками чёрной смородины. В туалетной воде чувственные древесные ноты мха дуба и сладости пачули добавляют уникальности мужественному характеру аромата.",Только для наружного применения.,Италия
https://goldapple.ru/19000173783-une-escale-dans-les-calanques,Une escale dans les calanques,2884,4,"Прикоснитесь к искусству жизни на Юге Франции с уникальными композициями из Грасса. Песнь цикад, летний зной и кристально чистая вода в бухте. Парфюмерная вода Une escale dans les calanques приглашает сделать остановку в бухте и забыть обо всем. <br>
Солнечная и бодрящая волна цитрусов оставляет после себя ощущение счастья. Йод, напоминающий морские брызги, усиливает звучание композиции. Теплый песок смешивается с древесными нотами и акцент в виде бессмертника.",Распылите на кожу на расстоянии 20-30 см.,Франция
https://goldapple.ru/19000234746-amber-lily,Amber Lily,2290,,"Терпкий древесный аромат амбры, имбиря и водяной лилии. Ярчайший аромат с высоким душистым спектром, быстро наполняет собой окружающее пространство. Ноты чёрного кардамона и имбиря мгновенно задают тон всей композиции. Плавные аккорды жасмина и орхидеи смягчают аромат, постепенно растворяясь в насыщенный шлейф, приправленный нотками сандала и кожи.<br> AMBER LILY - идеальный аромат для тех, кто обожает терпкие восточные композиции и мечтает наполнить своё помещение согревающим пряным ароматом.<br> Выбирайте AMBER LILY, если хотите украсить натуральный интерьер просторной гостиной с элементами темного дерева, мрамора и растений.","Наполните стеклянный флакон арома жидкостью из пластикового рефила наполовину. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.",Россия
https://goldapple.ru/19000060207-flowers-spices,NEROLI & JASMINE,2376,,"Аромат Цветов апельсинового дерева считается одним из самых изысканных компонентов в парфюмерии. Жасмин тонкий, с кислинкой, придаёт свежести этому букету. Невероятное сочетание! Компоненты: цветы апельсинового дерева, жасмин.","Рекомендуемое время непрерырвного использования до 3-х часов. Этого достаточно для полного наполнения пространства ароматом. Для избежания образования воронки в воске не гасите свечу ранее, чем воск расплавится  по всей поверхности. Пока воск ""стынет"" он продолжает распространять аромат.",Россия
https://goldapple.ru/19000178427-i-love-love,I LOVE LOVE,3675,5,"В изысканный подарочный набор MOSCHINO входят туалетная вода CHEAP AND CHIC I LOVE LOVE (30 мл) и парфюмированный лосьон для тела (50 мл), который увлажняет кожу и гармонично сочетается с ароматом туалетной воды.<br>
Этот романтичный парфюмерный дуэт предлагает одновременно свежий и сладкий, как первая влюбленность, аромат с цветочными и фруктовыми нотами. В игривой композиции переплетаются цитрусовый аккорд, красная смородина, ландыш, камыш, мускус и древесные ноты.",,Италия
https://goldapple.ru/90151200005-vanilla-blend,Black Vanilla,6360,4.7,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.<br>
Эрез Розен <br><br>

Замысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов. <br><br>

Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
https://goldapple.ru/19000225172-santal-basmati,SANTAL-BASMATI,18832,4.3,"Аромат AFFINESSENCE из коллекции Notes de Fond (или Base Notes collection) раскрывает красоту ценного, благородного сандала из индийского региона Майсур. <br><br>

В этой соблазнительной, загадочной композиции чувственное кремовое звучание сандала переплетается с нотой басмати – одного из самых ароматных сортов риса в мире. Гармоничный, одновременно смелый и изысканный дуэт сочетается с насыщенными нотами пачулей, ириса и кашмерана, формируя завораживающий аромат с элегантным, манящим шлейфом. <br><br>

Парфюмеры – Alexandra Carlin и Sophie Bruneau.",Только для наружного применения.,Франция
https://goldapple.ru/19000152493-odyssey,ODYSSEY,2580,,"Аромат ODYSSEY вдохновлён дальними странствиями, историями мореплавателей и искателей приключений. <br/>Насыщенный аромат цейлонского дерева с нотками лайма и имбиря поможет успокоить ум и сосредоточиться на главном – поиске гармонии с собой. <br/>В стремительном калейдоскопе событий иногда непросто разглядеть то, что по-настоящему важно. Аромат подойдёт для создания умиротворённой атмосферы, для духовных практик и для спокойных вечеров наедине с собой.","Что бы начать использование диффузора, необходимо открыть крышку и вставить в ёмкость фибровые палочки, которые прилагаются в комплекте;
<br/>Регулируйте интенсивность аромата с помощью фибровых палочек: используйте от 1 до 6 палочек и не забывайте переворачивать их раз в 2-3 недели;
<br/>Диффузор должен находиться на открытом месте в хорошо проветриваемом помещении;
<br/>Диффузор следует хранить вдали от прямых солнечных лучей и источников тепла;
<br/>При правильном использовании диффузор прослужит вам от 2 до 4 месяцев в зависимости от объёма. 50 мл- 2-3 месяца / 100 мл - 3-4 месяца;
<br/>Не оставляйте диффузор в пределах досягаемости детей и домашних животных.",Россия
https://goldapple.ru/19000117830-aqua-mysteri,Aqua Mysteri,4152,5,"Яркий и таинственный аромат AQUA MYSTERI построен вокруг ноты флердоранжа, которая переносит в цветущий апельсиновый сад. 
<br/>Освежающая нота грейпфрута окутывает сладко-горькой вуалью, за которой тянется многогранный цветочный шлейф пальмарозы. 
<br/>Классическую композицию LE COUVENT дополняет древесный аккорд, в котором ярко звучит благородный кедр. 
<br/>Насыщенный и стойкий аромат, созданный на основе натуральных растительных эссенций, произведен в традициях французской высокой парфюмерии.",Только для наружного применения.,Франция
https://goldapple.ru/19000222199-musc-infidele,Musc Infidèle,8280,5,"Живите так, как захочется!<br><br>

Musc Infidèle — исключительная свобода. Современный и глубокий аромат, наполняющий первыми насыщенными нотами бергамота и малины. <br>
Насладитесь свежестью, которая смешивается с зелеными, цветочными нотами и белым деревом. Тонкие штрихи древесных нот мускуса и амбры, окутанных ладаном в базе аромата, согревают.",Только для наружного применения.,Франция
https://goldapple.ru/19000234748-bamboo,Bamboo,2290,,"Зеленый свежий аромат весенних цветов и стебля бамбука. Аромат со средней насыщенностью душистых веществ, мягко наполняет собой пространство. Ноты бергамота и бамбука растворяются в мягкую растительную дымку. Ведущие аккорды лилии и иланг-иланга насыщают пространство цветочным ароматом. Финальный штрих - нота ванили - окрашивает помещение сладостью. <br>BAMBOO точно пополнит вашу коллекцию ароматов, если вы - фанат растительной свежести и нежного аромата цветов.BAMBOO идеален для светлых интерьеров, небольшой спальни и ванной комнаты.","Наполните стеклянный флакон арома жидкостью из пластикового рефила наполовину. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.",Россия
https://goldapple.ru/19000155815-l-eau-revee-d-ikar,L'Eau Revee d'Ikar ,14128,,"L’Eau Rêvée d’Ikar - воплощение духа свободы и стремления к новым открытиям! Яркая эссенция зеленого мастикового дерева приобретает неожиданное звучание в дуэте с терпким ветивером, пудровым ирисом, пронизанным энергией земли цейлонским чаем. Выразительность и характер композиции придают пряные и древесные грани, объединенные союзом ладанника и сандала.  Упаковку туалетной воды украсила художница Эльжбета Радзивилл, а скульптор Бронислав Кшиштоф создал дизайн колпачка флакона.","Наносите туалетную воду на кожу, в зонах пульсации (запястья, шея, локтевой сгиб...) на тёплой коже глубже раскроется вся красота звучания натуральных эссенций.",Франция
https://goldapple.ru/19000145084-midnight-hour,MIDNIGHT HOUR,5690,,"Одновременно смелый и элегантный аромат BANANA REPUBLIC – яркий выбор для мужчин, готовых на экзотическое фруктовое путешествие, и женщин, которые хотят открыть для себя новую парфюмерную историю с насыщенным кожаным аккордом и благородным древесным звучанием. Композиция MIDNIGHT HOUR окутывает натуральной и сочной фруктовой свежестью, украшенной нотами кожуры манго и имбиря. Это оригинальное сочетание мастерски переплетено с кожаным, шипровым и древесным аккордами, пробуждающими уверенность и силу. <p>
Парфюмер – Christelle Laprade.",Только для наружного применения.,Франция
https://goldapple.ru/19000222793-angelys-pear,ANGELYS PEAR,12240,5,"Вихрь лепестков, фруктов и специй создает элегантную смесь эссенций. Разнообразная коллекция EAU DE TOILETTE предлагает изящный баланс свежести, деликатности и интенсивности.<br><br>

Свежая и сочная нота груши подчеркнута букетом из розы и жасмина, который подсвечивается дубовым мхом. Благодаря красоте света, чистоте воздуха и спокойному, безмятежному настроению Angelys Pear прекрасно иллюстрирует легендарную французскую долину Луары в нежном цветении. <br><br>

Сладкий, свежий аромат с ярким сердцем, долгим шлейфом и приятным намеком на шипр.",Только для наружного применения.,Франция
https://goldapple.ru/83670100005-creative-inspiration,Creative Inspiration,14787,,"Пудровый пряный аромат Creative Inspiration – это приглашение в мир искусства и творчества. Он вдохновляет мечтать, изобретать, идти к своей цели, открывать для себя новое. Чувственная и яркая композиция начинается с нот бергамота, ириса и сандала, придающего аромату мягкость и экзотичность. За ними раскрываются перец и пудровые ноты риса и солодки. Creative Inspiration идеально подходит тем, кто хочет быть на ты с искусством и творчеством. Тем, для кого аромат – это путешествие в удивительные фантазии. 
<p>
Верхние ноты: бергамот, чай улун, ирис
<p>
Ноты сердца: красный перец, жасмин, рис
<p>
Базовые ноты: мускус, сандал, лакричник",,Франция
https://goldapple.ru/19000201900-annone,ANNONE ,23205,,"Вдохновленный необыкновенным белым слоном, он берет от него свою редкость, силу и грацию. Главный герой историй эпохи Возрождения, связанных с Рафаэлем, слон Аннон покорил сердце Папы и всего Рима в 1500-х годах. Так будет и с этим ароматом, с животными и нежными тонами 
одновременно, неповторимым и трудно забываемым. Это выделяющийся аромат с неожиданными нотами манго, ириса и шафрана, которые покоятся на мощном и очень современном сердце из уда и амбры. Аромат, который говорит о Востоке с большой элегантностью.","Наносить на неповрежденные участки кожи, волос и одежду",Италия
https://goldapple.ru/19000234750-bellini,Bellini,2290,,"Бархатный аромат сочного персика и терпкого рома. Пудровый аромат с насыщенным шлейфом и высокой концентрацией ароматических веществ, который быстро наполнит ваше помещение игривыми нотами сладкого персика, красного апельсина и ванили. Терпкие, пряные аккорды коньяка, рома и кашмерана придают аромату легкую горчинку и украшают звучание.<br>BELLINI идеально вам подойдёт, если вы хотите поддержать настроение вечеринки и праздника. Этот аромат станет прекрасным дополнением для просторной гостиной, холла и помещений в светлых интерьерах.","Наполните стеклянный флакон аромажидкостью из пластикового рефила наполовину. Поставьте в стеклянный флакон с жидкостью палочки из микрофиьры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.",Россия
https://goldapple.ru/19000117824-aqua-majestae,Aqua Majestae,4152,5,"Парфюмерная композиция AQUA MAJESTAE от LE COUVENT – словно сладкая цветочная волна. Она оставляет яркий цветочно-фруктовый шлейф, напоминающий о красоте золотого часа в саду, где цветет османтус. 
<br/>Многогранный аромат этого цветка с узнаваемой нежной нотой, напоминающей бархатистый сочный абрикос, дополняют благоухающий букет акаций и свежий, игривый цитрусовый аккорд. 
<br/>Солнечные, сияющие фруктовые и цветочные грани украшают древесную базу, построенную вокруг благородного звучания кедра.",Только для наружного применения.,Франция
https://goldapple.ru/19000234832-bellini,Bellini,1390,,"Лаконичная аромасвеча из природного кокосового воска плавно наполнит ваше пространство насыщенным парфюмированным шлейфом. Благодаря низкой температуре плавленния, кокосовый воск тает эстетично, не оставляя лунок вокруг пламени. Бархатный аромат сочного персика и терпкого рома.Пудровый аромат с насыщенным шлейфом и высокой концентрацией ароматических веществ, который быстро наполнит ваше помещение игривыми нотами сладкого персика, красного апельсина и ванили. Терпкие, пряные аккорды коньяка, рома и кашмерана придают аромату легкую горчинку и украшают звучание.BELLINI идеально вам подойдёт, если вы хотите поддержать настроение вечеринки и праздника.Этот аромат станет прекрасным дополнением для просторной гостиной, холла и помещений в светлых интерьерах.","Перед использованием удалите все декоративные элементы упаковки. Выберите удобное место для свечи, недоступное для детей и животных. Держите свечу зажженной не менее 20 и не более 30 минут. <br>  Меры предосторожности <br>  Не оставляйте зажженную свечу без присмотра и на сквозняках. <br>  Располагать свечу вне зоны досягаемости детей и домашних животных. <br>  Соблюдайте безопасное расстояние от пожароопасных предметов. Обязательной сертификации не подлежит.",Россия
https://goldapple.ru/83271600005-ultimate-seduction,ULTIMATE SEDUCTION ,20625,,"Духи Laurent Mazzone Ultimate Seduction отличаются многогранной композицией, верхние ноты которой — апельсиновые цукаты, пронзительные оттенки черной смородины, легкая перечная горчинка. В сердце Ultimate Seduction от Laurent Mazzone спрятаны нежность фиалки, пудровая легкость ириса и аристократичность розы. Шлейф духов окутывает теплотой амбры, пряностью пачули и аккордами кедра.",Для наружного применения.,
https://goldapple.ru/7302300003-toy-boy,TOY BOY,4025,4.9,"Парфюмерная вода TOY BOY от MOSCHINO – это новый, слегка ироничный взгляд на элегантность. Аромат отражает энергию и силу активного, увлеченного и страстного мужчины, который не боится раскрыть свою нежную и чувственную сторону. Это захватывающая игра, цель которой – переоценка ценностей и поиск свободы. Соблазнительная и игривая парфюмерная композиция раскрывается нотами бергамота, розовых ягод, мускатного ореха, груши и элеми. В сердце аромата – абсолю розы, гвоздика, магнолия и цветы льна, базовые ноты – кашмеран, ветивер о.гаити, амбермакс и SYLKOLIDE. Смелый характер аромата повлиял и на дизайн: при всей своей оригинальности флакон из чёрного стекла с серебристой отделкой не теряет элегантности и неизбежно привлекает внимание.",,Италия
